Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
277,"Kenny Pickett","CLE","QB",37,9,170.1,38.3,"N/A"
278,"Jalen Milroe","SEA","QB",38,8,169.7,43.64,"N/A"
279,"Jordan Whittington","LAR","WR",96,8,170.1,69.57,"N/A"
280,"Kirk Cousins","ATL","QB",39,5,169.9,5.93,"N/A"
281,"KaVontae Turpin","DAL","WR",97,10,170,80.6,"N/A"
282,"Zach Wilson","MIA","QB",40,12,170,38.56,"N/A"
283,"AJ Dillon","PHI","RB",74,9,170,53.44,"N/A"
284,"Joshua Karty","LAR","K",17,8,169.5,139.5,"N/A"
285,"Brian Robinson","WAS","RB",75,12,null,68.8,6
286,"Arizona Cardinals DST","ARI","DST",17,8,null,100.72,"N/A"
287,"Jason Sanders","MIA","K",18,12,null,140.04,"N/A"
288,"Troy Franklin","DEN","WR",98,12,170,102.19,"N/A"
289,"Chicago Bears DST","CHI","DST",18,5,168.7,99.01,"N/A"
290,"Ray-Ray McCloud III","ATL","WR",99,5,170,82.85,"N/A"
291,"Cairo Santos","CHI","K",19,5,null,132.51,"N/A"
292,"New York Jets DST","NYJ","DST",19,9,null,100.42,"N/A"
293,"Woody Marks","HOU","RB",76,6,169.9,43.45,2
294,"Daniel Carlson","LV","K",20,8,169.1,135.95,"N/A"
295,"Tim Patrick","DET","WR",100,8,169.9,63.29,"N/A"
296,"New York Giants DST","NYG","DST",20,14,null,100.75,"N/A"
297,"Justice Hill","BAL","RB",77,7,170,46.13,2
298,"Allen Lazard","NYJ","WR",101,9,170.2,50.12,1
299,"Isaac TeSlaa","DET","WR",102,8,169.9,56.29,"N/A"
300,"Elijah Mitchell","KC","RB",78,10,170.1,65.19,"N/A"
301,"Tre Tucker","LV","WR",103,8,170.2,83.45,"N/A"
302,"Elic Ayomanor","TEN","WR",104,10,170,90.79,1
303,"Devin Singletary","NYG","RB",79,14,170.1,48.48,"N/A"
304,"Xavier Hutchinson","HOU","WR",105,6,170,5.53,"N/A"
305,"Sean Tucker","TB","RB",80,9,170,37.18,1
306,"Jaleel McLaughlin","DEN","RB",81,12,170,36.47,"N/A"
307,"Parker Washington","JAX","WR",106,8,170,76.76,"N/A"
308,"Ollie Gordon II","MIA","RB",82,12,170,57.5,1
309,"Antonio Gibson","NE","RB",83,14,170,40.96,"N/A"
310,"Zamir White","LV","RB",84,8,170,34.15,"N/A"
311,"Cam Akers","NO","RB",85,11,170,42.82,"N/A"
312,"Ty Johnson","BUF","RB",86,7,170,52.92,1
313,"Demarcus Robinson","SF","WR",107,14,170,26.34,"N/A"
314,"Samaje Perine","CIN","RB",87,10,170.1,31.89,"N/A"
